Block	Triple	Condition
		
Spiel	 (Spiel, aehnlich, Brettspiel)	
Spiel	 (Spiel, sein, Gesellschaftsspiel)	
Spiel	 (Spiel, nicht_sein, Komplex)	
Spiel	 (Spiel, spieldauer_haben, Fuenf_Minuten)	
		
Spieler	 (Spiel, haben, Spieler)	
Spieler	 (Spieler, Anzahl, zwei)	
Spieler	 (Gegner, sein, Spieler)	
Spieler	 (Spieler, reihenfolge, Abwechselnd)	
Spieler	 (Spieler, gegeneinander, Gegner)	
		
Ende	 (Spiel, haben, Spielausgang)	
Ende	 (Spielausgang, Anzahl, drei)	
Ende	 (Spielausgang, option, Sieg)	
Ende	 (Spielausgang, option, Unentschieden)	
Ende	 (Spielausgang, option, Niederlage)	
Ende	 (Sieg, bedingung_haben, nicht)	
		
		
Spielziel	 (Spiel, haben, Ziel)	
Spielziel	 (Reihe, sein, Ziel)	
Spielziel	 (Reihe, gleich, Farbe)	
Spielziel	 (Reihe, sein, Ziel)	
Spielziel	 (Reihe, laenge, vier)	
Spielziel	 (Siegbedingung, benoetigen, Reihe)	
Spielziel	 (Reihe, haben, Anordnung)	
Spielziel	 (Reihe, bestehen_aus, Plättchen)	
Spielziel	 (Anordnung, Anzahl, drei)	
Spielziel	 (Anordnung, option, Diagonal)	
Spielziel	 (Anordnung, option, Vertikal)	
Spielziel	 (Anordnung, option, Horizontal)	
		
Spielzuege	 (Spiel, haben, Spielzug)	
Spielzuege	 (Spielzug, Anzahl, eins)	
Spielzuege	 (Spiel, eingeteilt_sein_in, Runde)	
Spielzuege	 (Runde, enthalten, Setzen)	
Spielzuege	 (Setzen, sein, Spielzug)	
Spielzuege	 (Waehlen, nicht_sein, Spielzug)	
Spielzuege	 (Setzen, nutzen, Rest)	
Spielzuege	 (Setzen, dorthin, Feld)	
Spielzuege	 (Setzen, auf, Spielbrett)	
Spielzuege	 (Setzen, setzen, Plättchen)	
		
Spielfiguren	 (Spiel, haben, Plättchen)	
Spielfiguren	 (Plättchen, haben, Figurenmerkmal)	
Spielfiguren	 (Plättchen, Anzahl, zweiundvierzig)	
Spielfiguren	 (Figurenmerkmal, Anzahl, eins)	
Spielfiguren	 (Farbe, sein, Figurenmerkmal)	
		
Spielbrett	 (Spiel, haben, Spielbrett)	
Spielbrett	 (Spiel, haben, Figurenvorrat)	
Spielbrett	 (Feld, Anzahl, zweiundvierzig)	
Spielbrett	 (Spielbrett, haben, Feld)	
Spielbrett	 (Spielbrett, stehen, senkrecht)	
Spielbrett	 (Spielbrett, sein, Spielbestandteil)	
		
Strategien	 (Spiel, wenig, Taktik)	
